favourites_count,frequency
0,1390
1,459
2,292
3,184
4,141
6,112
5,108
7,63
8,62
10,53
9,47
11,44
13,36
17,33
14,30
16,27
19,26
18,26
12,25
15,22
22,22
20,21
21,20
24,18
27,16
37,16
26,14
30,14
28,13
32,13
29,12
31,11
45,11
40,10
44,9
25,9
33,9
50,9
52,8
34,8
23,8
48,8
36,8
43,7
49,7
85,6
53,6
59,6
56,6
47,6
39,5
80,5
89,5
55,5
84,5
42,5
38,5
70,5
35,5
95,5
41,5
104,4
109,4
79,4
54,4
113,4
108,4
123,4
62,4
88,4
127,4
78,4
101,4
63,4
58,4
93,4
178,3
131,3
76,3
244,3
82,3
161,3
102,3
172,3
150,3
57,3
115,3
64,3
60,3
137,3
198,3
68,3
249,3
128,3
72,3
69,3
86,2
466,2
71,2
99,2
111,2
97,2
665,2
116,2
121,2
611,2
122,2
87,2
422,2
106,2
233,2
572,2
92,2
227,2
364,2
188,2
165,2
185,2
180,2
98,2
149,2
67,2
65,2
645,2
146,2
139,2
341,2
181,2
110,2
74,2
387,2
199,2
83,2
350,2
91,2
51,2
117,2
151,2
163,2
145,2
46,2
66,2
90,2
268,2
208,2
526,1
263,1
190,1
154,1
75,1
1186,1
130,1
405,1
308,1
1522,1
169,1
2021,1
520,1
828,1
305,1
94,1
436,1
73,1
124,1
112,1
2796,1
340,1
138,1
2489,1
234,1
652,1
489,1
271,1
1392,1
1394,1
144,1
347,1
129,1
401,1
1247,1
114,1
1687,1
257,1
96,1
582,1
384,1
343,1
179,1
906,1
508,1
1002,1
469,1
362,1
447,1
194,1
852,1
159,1
246,1
175,1
514,1
203,1
339,1
186,1
13420,1
564,1
411,1
321,1
133,1
530,1
459,1
217,1
473,1
372,1
409,1
140,1
638,1
250,1
627,1
222,1
279,1
747,1
310,1
415,1
200,1
527,1
723,1
606,1
191,1
333,1
351,1
210,1
300,1
1601,1
182,1
457,1
219,1
399,1
629,1
2736,1
148,1
403,1
398,1
311,1
408,1
119,1
100,1
808,1
661,1
221,1
284,1
625,1
650,1
153,1
316,1
237,1
441,1
240,1
298,1
1206,1
732,1
289,1
377,1
491,1
418,1
349,1
211,1
4047,1
215,1
77,1
1084,1
247,1
1581,1
134,1
174,1
437,1
264,1
4023,1
126,1
141,1
363,1
189,1
107,1
143,1
245,1
166,1
1329,1
160,1
553,1
196,1
748,1
545,1
132,1
1789,1
